STATUS | wrapper  | 2018/03/30 14:29:44 | --> Wrapper Started as Console
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.route.impl.DruidMycatRouteStrategy.routeNormalSqlWithAST(DruidMycatRouteStrategy.java:84)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.route.impl.AbstractRouteStrategy.route(AbstractRouteStrategy.java:81)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.route.RouteService.route(RouteService.java:133)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.server.ServerConnection.routeEndExecuteSQL(ServerConnection.java:273)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.server.ServerConnection.execute(ServerConnection.java:222)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.server.handler.SelectHandler.handle(SelectHandler.java:105)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.server.ServerQueryHandler.query(ServerQueryHandler.java:79)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.net.FrontendConnection.query(FrontendConnection.java:317)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.net.FrontendConnection.query(FrontendConnection.java:337)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.net.handler.FrontendCommandHandler.handle(FrontendCommandHandler.java:71)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.net.FrontendConnection.rawHandle(FrontendConnection.java:478)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.net.FrontendConnection.handle(FrontendConnection.java:460)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.net.AbstractConnection.onReadData(AbstractConnection.java:321)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.net.NIOSocketWR.asynRead(NIOSocketWR.java:190)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.net.AbstractConnection.asynRead(AbstractConnection.java:273)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.net.NIOReactor$RW.run(NIOReactor.java:102)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2018/03/30 14:34:38 |  (io.mycat.server.ServerConnection:ServerConnection.java:281) 
INFO   | jvm 1    | 2018/03/30 14:34:46 | 2018-03-30 14:34:46,082 [INFO ][Timer0] create connections ,because idle connection not enough ,cur is 3, minCon is 10 for hostS1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:299) 
